consumer_id,name,date_of_complaint,region,complaint,Department
6741,Deborah Garcia,2023-12-16,South Kellytown,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
8236,Rachel Becker,2024-03-11,South Christinemouth,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
1235,Michael Hickman,2024-04-30,West Christopherburgh,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
6570,Amanda Rodriguez,2024-02-16,Solomonfurt,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
4626,Marissa Miller,2024-06-01,Johnburgh,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
7344,Elizabeth Moody,2024-09-30,West Matthewberg,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
3796,Troy Payne,2023-12-26,Jesseberg,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
2741,Mrs. Karen Miranda,2023-12-13,Rickyberg,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
2260,Brian Mullen,2024-07-22,Port Courtneyside,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
1090,Lisa Jarvis,2024-02-27,Port Scottbury,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
4342,Jared Ortiz,2024-06-22,Lake Brenda,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
6341,Kenneth Spencer,2024-01-31,South Justin,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
3616,Anthony Mcdonald,2024-04-20,South Paul,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
9393,Jamie Lin,2023-12-25,Charlesborough,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
9057,Connor Lopez,2024-02-26,Davidborough,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
7769,Karen Harrell,2024-04-29,Markmouth,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
8876,Christopher Gomez,2024-11-02,Robertstad,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
9405,Reginald Crawford,2024-01-07,South Andrebury,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
4943,Deanna Brown,2024-02-04,South Brandonfurt,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
1950,Rachel Jones,2024-08-29,Silvafort,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
9750,Jennifer Moore,2024-03-02,Lake Jonberg,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
3452,Michael Perry,2024-05-30,North Christopherburgh,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
9118,Kenneth Glover,2024-10-24,Michaelshire,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
1214,Robin Morgan,2024-03-03,Port Brandy,"The quality of the product was poor, and I would like to file a complaint.",Customer Support Department
