consumer_id,name,date_of_complaint,region,complaint,Department
4713,Jennifer Franklin,2024-01-07,Kristinstad,"The product description was misleading, and I want to return it.",General Department
8650,Scott Shaw,2024-11-04,Mendezberg,"The product description was misleading, and I want to return it.",General Department
9324,Jessica Bailey,2023-12-06,Kennethburgh,"The product description was misleading, and I want to return it.",General Department
6263,Sean Russell,2024-04-17,South Chase,"I was charged extra for shipping, but the item was delivered late.",General Department
4399,Brittany Mcguire,2024-06-02,Port Bridget,"I was charged extra for shipping, but the item was delivered late.",General Department
2395,Joseph Hodges,2024-03-22,West Frankmouth,"The product description was misleading, and I want to return it.",General Department
2335,Sarah Hardy,2024-08-04,Lake Kathleen,"I was charged extra for shipping, but the item was delivered late.",General Department
7723,Alexis Alexander,2023-12-28,Johnmouth,"The product description was misleading, and I want to return it.",General Department
9556,Erica Li,2024-04-25,Parsonsview,"I was charged extra for shipping, but the item was delivered late.",General Department
6093,Lisa Dennis MD,2024-04-26,South Deniseland,"I was charged extra for shipping, but the item was delivered late.",General Department
3338,Diana Cochran,2024-01-16,Riceview,"The product description was misleading, and I want to return it.",General Department
6274,Edgar Wood,2023-12-13,Lindaport,"I was charged extra for shipping, but the item was delivered late.",General Department
2988,Donald Thompson,2024-03-15,Lake Marissa,"I was charged extra for shipping, but the item was delivered late.",General Department
3102,Nancy Martin,2024-01-17,Riosfort,"I was charged extra for shipping, but the item was delivered late.",General Department
6168,John Mahoney,2024-05-14,Sanchezfurt,"The product description was misleading, and I want to return it.",General Department
7630,Daniel Dickson,2024-07-21,Amyland,"The product description was misleading, and I want to return it.",General Department
8017,Stephanie Roberts,2024-03-14,South Joseberg,"The product description was misleading, and I want to return it.",General Department
5106,Karen Mcdonald,2024-06-20,Torresbury,"The product description was misleading, and I want to return it.",General Department
5048,Nicole Kramer,2024-09-07,Port Stevenview,"I was charged extra for shipping, but the item was delivered late.",General Department
5018,Dr. Kiara Hall,2024-08-08,East Julia,"I was charged extra for shipping, but the item was delivered late.",General Department
3801,Jamie George,2024-11-04,Brandonland,"I was charged extra for shipping, but the item was delivered late.",General Department
1109,Joseph Williams,2024-08-03,Donnafort,"I was charged extra for shipping, but the item was delivered late.",General Department
6615,Jessica Levy,2024-05-08,Port Robinmouth,"I was charged extra for shipping, but the item was delivered late.",General Department
2776,Kelly Riddle,2024-10-28,Lake Shariland,"I was charged extra for shipping, but the item was delivered late.",General Department
