consumer_id,name,date_of_complaint,region,complaint,Department
5832,Joseph Lewis,2023-12-04,Walkermouth,The product didn't match the description on the website.,IT Department
3355,Joshua Daugherty,2024-11-09,Lake Tina,The product didn't match the description on the website.,IT Department
3287,Michael Carter,2024-01-10,Shannontown,The product didn't match the description on the website.,IT Department
1064,Amy Berry,2024-06-19,Reedmouth,"The delivery time was not met, and I am unhappy with the service.",IT Department
6835,Mr. Mark Willis,2023-12-13,New Sharon,The product didn't match the description on the website.,IT Department
5998,Samantha Rodriguez,2024-01-22,Lake James,"The delivery time was not met, and I am unhappy with the service.",IT Department
1723,Nancy Lowe,2024-05-27,Webershire,The product didn't match the description on the website.,IT Department
6687,Molly Miller,2024-11-14,New Lindsey,"The delivery time was not met, and I am unhappy with the service.",IT Department
3465,Susan Johnson,2024-11-20,Danafort,The product didn't match the description on the website.,IT Department
4072,Larry Lee,2024-04-03,North Shannon,The product didn't match the description on the website.,IT Department
9175,Wendy Harris,2024-06-12,Lambfurt,"The delivery time was not met, and I am unhappy with the service.",IT Department
8128,Melissa Cisneros,2024-07-22,New Davidport,The product didn't match the description on the website.,IT Department
7533,Brittany Lane,2024-10-17,Lake Holly,"The delivery time was not met, and I am unhappy with the service.",IT Department
8557,Robert Matthews,2023-12-28,Annaville,The product didn't match the description on the website.,IT Department
1452,Todd Wolfe,2024-10-08,West Michelle,"The delivery time was not met, and I am unhappy with the service.",IT Department
2017,Justin Lopez,2024-10-17,Port Jeffreymouth,"The delivery time was not met, and I am unhappy with the service.",IT Department
9855,Dylan Farrell,2024-05-25,South Stephenmouth,"The delivery time was not met, and I am unhappy with the service.",IT Department
2891,Morgan Gilbert,2024-03-20,South Jameshaven,"The delivery time was not met, and I am unhappy with the service.",IT Department
7365,Anita Lopez,2024-06-22,Elizabethberg,The product didn't match the description on the website.,IT Department
1772,Sarah Waters,2024-06-23,Heatherside,"The delivery time was not met, and I am unhappy with the service.",IT Department
5277,Lisa Williams,2024-07-29,Lake Michael,"The delivery time was not met, and I am unhappy with the service.",IT Department
1239,Jessica Miller,2024-07-22,New Margaretborough,The product didn't match the description on the website.,IT Department
9569,James Jennings,2023-12-31,South Stacy,The product didn't match the description on the website.,IT Department
4002,Joe Webb MD,2024-07-22,North Patrick,The product didn't match the description on the website.,IT Department
8862,Andrew Rivas,2024-07-16,Robertberg,"The delivery time was not met, and I am unhappy with the service.",IT Department
6061,Luis Galvan,2024-09-07,Knappside,"The delivery time was not met, and I am unhappy with the service.",IT Department
1029,Ryan Murphy,2024-01-26,Port Cynthia,"The delivery time was not met, and I am unhappy with the service.",IT Department
9182,Cynthia Peterson,2024-07-20,Port Wayne,The product didn't match the description on the website.,IT Department
7259,Michael Ingram,2024-02-06,South Michaelstad,The product didn't match the description on the website.,IT Department
5204,Jennifer Savage,2024-08-14,Griffintown,The product didn't match the description on the website.,IT Department
5484,Mary Davis,2024-08-12,Crosschester,"The delivery time was not met, and I am unhappy with the service.",IT Department
