consumer_id,name,date_of_complaint,region,complaint,Department
3289,Mallory Young,2023-12-19,Lake Tanya,"I was charged hidden fees, and I would like an explanation.",Billing
3637,Bridget Martinez,2024-05-04,Micheleport,"I was charged hidden fees, and I would like an explanation.",Billing
3933,Cheryl Kidd,2024-03-11,West Benjamin,"I was charged hidden fees, and I would like an explanation.",Billing
1099,Mr. Michael Miller,2024-02-27,Lake Tina,"I was charged hidden fees, and I would like an explanation.",Billing
1855,James Williams,2024-02-18,Micheleburgh,"I was charged hidden fees, and I would like an explanation.",Billing
2797,Lydia Weiss,2024-01-22,Port Melissa,"I was charged hidden fees, and I would like an explanation.",Billing
1838,Isabella Coleman,2024-06-09,Lake Kenneth,"I was charged hidden fees, and I would like an explanation.",Billing
2535,Christina Perez,2023-12-13,North Jackson,"I was charged hidden fees, and I would like an explanation.",Billing
7407,Virginia Johnson,2024-04-22,West Nancyside,"I was charged hidden fees, and I would like an explanation.",Billing
5679,Debra Barnett,2024-05-27,East Jennifer,"I was charged hidden fees, and I would like an explanation.",Billing
2563,Raymond Martin,2024-05-05,New Judithview,"I was charged hidden fees, and I would like an explanation.",Billing
6723,Tyler Ramirez,2024-03-18,Allisonside,"I was charged hidden fees, and I would like an explanation.",Billing
7892,Melanie Young,2024-03-18,Lake Toddfort,"I was charged hidden fees, and I would like an explanation.",Billing
2674,Kevin Williams,2024-11-05,Lake Jonathanton,"I was charged hidden fees, and I would like an explanation.",Billing
6873,Lauren Klein,2024-06-03,Ericburgh,"I was charged hidden fees, and I would like an explanation.",Billing
6105,Jeremiah Johnson,2024-07-24,Elizabethville,"I was charged hidden fees, and I would like an explanation.",Billing
2557,Michael Dawson,2024-09-03,South Amandachester,"I was charged hidden fees, and I would like an explanation.",Billing
1725,Monique Mathis,2024-06-02,Rowlandbury,"I was charged hidden fees, and I would like an explanation.",Billing
3364,William Espinoza,2024-02-21,Tanyaton,"I was charged hidden fees, and I would like an explanation.",Billing
1407,Benjamin Conley,2024-10-20,South Teresa,"I was charged hidden fees, and I would like an explanation.",Billing
7945,Alexandra Keller,2024-11-20,New Nicholas,"I was charged hidden fees, and I would like an explanation.",Billing
2987,Danielle Hernandez,2024-07-09,Danielleville,"I was charged hidden fees, and I would like an explanation.",Billing
8152,Steven Vaughn,2023-12-03,Ashleyshire,"I was charged hidden fees, and I would like an explanation.",Billing
2701,Keith Hamilton,2023-12-04,South Katie,"I was charged hidden fees, and I would like an explanation.",Billing
6238,Steven Perkins,2024-11-17,Browntown,"I was charged hidden fees, and I would like an explanation.",Billing
9603,Regina Hodge,2024-09-29,Ryanstad,"I was charged hidden fees, and I would like an explanation.",Billing
6919,Matthew Savage,2024-06-09,New Ethanton,"I was charged hidden fees, and I would like an explanation.",Billing
3331,Dr. Wendy Williams,2024-04-10,North Robin,"I was charged hidden fees, and I would like an explanation.",Billing
9205,Amanda Dixon,2024-05-09,South Juanburgh,"I was charged hidden fees, and I would like an explanation.",Billing
7455,Kevin Myers,2024-10-25,Lake Laurenmouth,"I was charged hidden fees, and I would like an explanation.",Billing
3527,Christopher Rojas,2024-05-31,West Elizabeth,"I was charged hidden fees, and I would like an explanation.",Billing
9890,Chad Anderson,2024-05-30,North Danielle,"I was charged hidden fees, and I would like an explanation.",Billing
8059,Tina Montgomery,2024-04-27,Ianton,"I was charged hidden fees, and I would like an explanation.",Billing
5703,Courtney Gray,2024-11-08,Davidton,"I was charged hidden fees, and I would like an explanation.",Billing
8747,George Collins,2024-11-15,Taylorfort,"I was charged hidden fees, and I would like an explanation.",Billing
5725,Kevin Hall,2024-04-21,West Shelby,"I was charged hidden fees, and I would like an explanation.",Billing
3059,Kyle Johnson,2024-05-10,Christinaton,"I was charged hidden fees, and I would like an explanation.",Billing
3006,Amber Roberson,2024-05-26,Jacobmouth,"I was charged hidden fees, and I would like an explanation.",Billing
8556,Kevin Barron,2023-12-22,Hornchester,"I was charged hidden fees, and I would like an explanation.",Billing
3955,Caleb Hicks,2024-06-02,East Lisaberg,"I was charged hidden fees, and I would like an explanation.",Billing
5283,Rebecca Maddox,2024-06-14,North Victormouth,"I was charged hidden fees, and I would like an explanation.",Billing
9726,Michelle Thompson,2023-12-23,East Hunterview,"I was charged hidden fees, and I would like an explanation.",Billing
6094,Aaron Bishop MD,2024-04-26,North Dennis,"I was charged hidden fees, and I would like an explanation.",Billing
7280,Darin Galvan,2024-10-17,Davidshire,"I was charged hidden fees, and I would like an explanation.",Billing
5205,Antonio Kaiser,2024-04-22,Rebeccamouth,"I was charged hidden fees, and I would like an explanation.",Billing
6339,Timothy Anderson,2024-04-18,Port Brian,"I was charged hidden fees, and I would like an explanation.",Billing
3766,Amanda Davis,2024-08-10,Kevinland,"I was charged hidden fees, and I would like an explanation.",Billing
3332,Jacqueline Mosley,2024-09-09,Jamesberg,"I was charged hidden fees, and I would like an explanation.",Billing
3025,Mark Wilkins,2024-02-25,Hernandezshire,"I was charged hidden fees, and I would like an explanation.",Billing
3198,Michelle Keller,2024-08-31,Port Jenniferfort,"I was charged hidden fees, and I would like an explanation.",Billing
7026,Angela Valdez,2024-02-05,Warnerview,"I was charged hidden fees, and I would like an explanation.",Billing
3810,Rachel Williams,2024-01-13,Lake Annette,"I was charged hidden fees, and I would like an explanation.",Billing
4164,Brittany Ross,2024-07-31,Hoffmanstad,"I was charged hidden fees, and I would like an explanation.",Billing
6614,Brian Watkins III,2023-12-16,Vickieborough,"I was charged hidden fees, and I would like an explanation.",Billing
4661,Bryan Rogers,2024-09-19,Lake Scottton,"I was charged hidden fees, and I would like an explanation.",Billing
3045,Alicia Owen,2024-09-24,Gomeztown,"I was charged hidden fees, and I would like an explanation.",Billing
7679,Matthew Peters,2024-03-23,Lake Fernando,"I was charged hidden fees, and I would like an explanation.",Billing
3952,Erica Moore,2024-01-30,Fisherberg,"I was charged hidden fees, and I would like an explanation.",Billing
5410,Danielle Johnson,2024-07-03,Aguilarchester,"I was charged hidden fees, and I would like an explanation.",Billing
1306,Lori Brown,2024-06-21,Mccarthyport,"I was charged hidden fees, and I would like an explanation.",Billing
8284,Justin Taylor,2024-01-10,Port Whitney,"I was charged hidden fees, and I would like an explanation.",Billing
3820,Mr. Randy Rodriguez,2024-08-04,West Jaredton,"I was charged hidden fees, and I would like an explanation.",Billing
2804,Kimberly Baker,2024-01-01,Rangelhaven,"I was charged hidden fees, and I would like an explanation.",Billing
5513,Dawn Brown,2023-12-03,Carsonport,"I was charged hidden fees, and I would like an explanation.",Billing
9066,Robert Walls,2024-09-11,Brownside,"I was charged hidden fees, and I would like an explanation.",Billing
1270,Lisa Jackson,2024-03-18,Christianborough,"I was charged hidden fees, and I would like an explanation.",Billing
8447,Joseph Walsh,2024-07-25,West Bryan,"I was charged hidden fees, and I would like an explanation.",Billing
5974,Cheryl Johnson,2024-11-02,Gallowayfurt,"I was charged hidden fees, and I would like an explanation.",Billing
