consumer_id,name,date_of_complaint,region,complaint,Department
7807,Michael Watson,2024-07-01,Port Johntown,"I am unable to access my account online, and need assistance with that.",Customer Support
1097,Jerry Shaw,2024-09-02,Stephenborough,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4030,Mindy Bailey,2024-01-14,Allisonberg,"I am unable to access my account online, and need assistance with that.",Customer Support
8670,Christopher Reynolds,2024-07-12,Selenafurt,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8709,Tyler Beasley,2024-07-12,Stephaniebury,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4059,Ashley Rodriguez,2024-08-10,Jaredside,"I am unable to access my account online, and need assistance with that.",Customer Support
6231,Julie Cook,2024-08-13,Port Jerry,"I am unable to access my account online, and need assistance with that.",Customer Support
1999,Frank Rios,2023-12-02,East Jenniferchester,"I am unable to access my account online, and need assistance with that.",Customer Support
9913,Cynthia Smith,2024-10-19,Walkertown,"I am unable to access my account online, and need assistance with that.",Customer Support
6228,Shannon Martinez,2024-03-13,Marthaville,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
1608,Ashley Haynes,2023-12-07,South Alexa,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
2514,Sharon Keller,2024-05-26,East Davidchester,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8329,Katherine Parker,2024-06-01,Richardsberg,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8833,Hunter Burnett,2024-08-03,Danielside,"I am unable to access my account online, and need assistance with that.",Customer Support
9431,Kristina Cardenas,2024-09-20,East Ashley,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
9016,Todd Gilmore,2024-11-06,Ryanfort,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
1517,Michael Perry,2024-03-15,East Jenniferborough,"I am unable to access my account online, and need assistance with that.",Customer Support
7220,Michael Freeman,2024-06-08,West Alicia,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4066,Angela Holland,2023-12-26,Davidport,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4472,Tina Gonzalez,2024-08-17,Raymondside,"I am unable to access my account online, and need assistance with that.",Customer Support
9713,Jason Holt,2024-11-18,North Saraport,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4796,Frank Hernandez,2024-10-15,Penashire,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8881,Rebecca Weeks,2024-04-21,Williamsbury,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
7981,Richard Sweeney,2024-05-12,South Stephanieland,"I am unable to access my account online, and need assistance with that.",Customer Support
7198,Anthony Holloway,2023-12-23,East Marcus,"I am unable to access my account online, and need assistance with that.",Customer Support
1565,David Garcia,2024-05-18,Fordtown,"I am unable to access my account online, and need assistance with that.",Customer Support
2020,Karla Sanchez DDS,2024-04-26,West Lucas,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
2362,Anthony Cisneros,2024-10-24,Williamsborough,"I am unable to access my account online, and need assistance with that.",Customer Support
4363,Lori Cameron,2024-01-02,East Sean,"I am unable to access my account online, and need assistance with that.",Customer Support
1229,Kevin Hill,2024-03-27,Port Katherineville,"I am unable to access my account online, and need assistance with that.",Customer Support
4235,Melissa Chaney,2024-04-25,Callahanchester,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4129,Edward Reed,2024-04-26,Alanfort,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
6940,Alexander Morgan,2024-03-18,Catherineside,"I am unable to access my account online, and need assistance with that.",Customer Support
4308,Darren Smith,2024-05-12,East Christophermouth,"I am unable to access my account online, and need assistance with that.",Customer Support
4829,Chelsea Dunlap,2024-05-11,Washingtonmouth,"I am unable to access my account online, and need assistance with that.",Customer Support
7857,Kyle Bryant,2024-11-13,Zimmermanville,"I am unable to access my account online, and need assistance with that.",Customer Support
2711,Diana Santiago,2024-03-18,South Amanda,"I am unable to access my account online, and need assistance with that.",Customer Support
4134,Melissa Hernandez,2024-05-01,New John,"I am unable to access my account online, and need assistance with that.",Customer Support
3593,Yvonne Williams,2024-04-12,Lopezfurt,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
7756,Sean Johnson,2024-07-31,Reynoldsshire,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
6456,Joel Lopez,2024-04-07,Josephbury,"I am unable to access my account online, and need assistance with that.",Customer Support
7156,Jessica Galvan,2024-02-16,Joshuafort,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
5561,Raymond Rhodes,2024-05-20,Nancyfort,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
9396,Jordan Combs,2024-06-26,Lake Jamesville,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
9098,Steven Knight,2024-08-16,Nguyenport,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
1969,Jason Allen,2024-07-12,Kleinchester,"I am unable to access my account online, and need assistance with that.",Customer Support
3555,Lisa Garcia,2024-11-18,Lake Ashleyshire,"I am unable to access my account online, and need assistance with that.",Customer Support
9494,Dorothy Ramsey,2024-03-19,Shannonland,"I am unable to access my account online, and need assistance with that.",Customer Support
6200,Elizabeth Williams,2024-07-21,New Carloshaven,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8924,Christopher Patterson,2024-10-06,Wolfburgh,"I am unable to access my account online, and need assistance with that.",Customer Support
3456,Stephanie Dawson,2024-05-27,Westburgh,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4486,Dr. Arthur Trevino,2024-08-24,Emilychester,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8417,Joseph Torres,2024-07-30,Ramostown,"I am unable to access my account online, and need assistance with that.",Customer Support
5695,Christopher Stein,2024-01-04,North Seanmouth,"I am unable to access my account online, and need assistance with that.",Customer Support
9683,David Rivers,2024-07-06,New Jenniferland,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4864,Jerry Stewart,2024-05-04,East Brandonport,"I am unable to access my account online, and need assistance with that.",Customer Support
7413,Joshua Rice,2024-04-02,South Danielview,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8327,Alexandra Owens,2024-05-31,New Johnville,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4291,Alexandra Perez,2024-06-30,West James,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
7477,Judy Lambert,2023-12-14,Port Gina,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
4986,David Phillips,2024-06-25,South Lisa,"I am unable to access my account online, and need assistance with that.",Customer Support
5224,Mrs. Amanda Wilson,2024-03-20,Garyfurt,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
3959,Brenda Morton,2024-06-27,Martinezfurt,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
5962,Evan Bray,2024-11-04,North Sandra,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
5340,Tiffany Parrish,2024-04-09,East Nathanbury,"I am unable to access my account online, and need assistance with that.",Customer Support
2135,Jamie Page,2024-11-21,West Matthewton,"I am unable to access my account online, and need assistance with that.",Customer Support
4619,Renee Thomas,2024-06-04,Riversside,"I am unable to access my account online, and need assistance with that.",Customer Support
3865,Susan Bryan,2024-06-26,East Andrewborough,"I am unable to access my account online, and need assistance with that.",Customer Support
7268,Brooke Shelton,2024-08-31,West Angela,"I am unable to access my account online, and need assistance with that.",Customer Support
9746,James Mcneil,2024-04-03,North Stephen,"I am unable to access my account online, and need assistance with that.",Customer Support
9933,Frank Powell,2023-11-30,East Christopher,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
1166,Melissa Morgan,2024-02-21,Christineburgh,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
1249,Gerald Montgomery,2024-04-30,Davischester,"I am unable to access my account online, and need assistance with that.",Customer Support
2994,Vincent Hernandez,2024-10-23,Bakerhaven,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
9642,Mr. Jeffrey Rogers MD,2023-12-14,Wallaceberg,"I am unable to access my account online, and need assistance with that.",Customer Support
8782,Lawrence Mccormick,2024-11-13,Pamburgh,"I am unable to access my account online, and need assistance with that.",Customer Support
4698,Cory Lee,2024-09-04,Jessicastad,"I am unable to access my account online, and need assistance with that.",Customer Support
7083,Eric Sanchez,2024-10-06,Warrenberg,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
2328,Candace Long,2024-10-07,West Brittany,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
2242,William Christian,2024-02-01,Raymouth,"I am unable to access my account online, and need assistance with that.",Customer Support
1931,Ricky Evans,2024-02-14,Lydialand,"I am unable to access my account online, and need assistance with that.",Customer Support
7519,Kim Hayes,2024-06-27,Tuckerberg,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
7800,Judy May,2024-04-25,Woodsville,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
6949,Sarah Sloan,2024-01-14,Lake Michael,"I am unable to access my account online, and need assistance with that.",Customer Support
5864,Philip Armstrong,2024-06-04,Langborough,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
3018,Don Archer,2023-12-02,Port Jeffrey,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
8427,Erik Johnson,2024-05-09,Johnborough,"I am unable to access my account online, and need assistance with that.",Customer Support
6665,Rhonda Davis,2024-02-07,Kennethchester,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
7524,Erin Reed,2024-02-14,Danielsfurt,"The customer service was unhelpful, and I am dissatisfied with the resolution.",Customer Support
6150,John Peterson,2024-03-24,Davisstad,"I am unable to access my account online, and need assistance with that.",Customer Support
4693,Jerry Mcneil,2024-01-20,Lake Adam,"I am unable to access my account online, and need assistance with that.",Customer Support
2096,Peggy Robles,2024-04-21,Mckinneyburgh,"I am unable to access my account online, and need assistance with that.",Customer Support
2381,Erin Thomas,2024-08-26,Colinshire,"I am unable to access my account online, and need assistance with that.",Customer Support
3603,Kristopher Schmidt,2024-01-18,Johnhaven,"I am unable to access my account online, and need assistance with that.",Customer Support
