consumer_id,name,date_of_complaint,region,complaint,Department
8116,Sarah Price,2024-06-26,Barberview,"The food was stale, and I want my money back.",Finance
1735,Nicole Ellis,2023-12-04,Hartburgh,"The food was stale, and I want my money back.",Finance
5316,Douglas Harrington,2024-02-10,South Sarahchester,"The food was stale, and I want my money back.",Finance
6994,Calvin Vargas,2024-10-28,Snyderville,"The food was stale, and I want my money back.",Finance
2094,Kevin Yu,2024-07-06,Joshuaton,"The food was stale, and I want my money back.",Finance
9187,William Reynolds,2024-06-23,West Marvin,"The food was stale, and I want my money back.",Finance
5535,Sharon Waters,2024-04-17,Port Robert,"The food was stale, and I want my money back.",Finance
7310,Kevin Trujillo,2024-11-14,Port Angela,"The food was stale, and I want my money back.",Finance
1965,Jamie Bennett,2023-12-15,Dickersonchester,"The food was stale, and I want my money back.",Finance
7733,Sandra Wagner,2023-12-19,Robbinsborough,"The food was stale, and I want my money back.",Finance
5380,Megan Baker,2023-11-30,East Monicashire,"The food was stale, and I want my money back.",Finance
2943,Emily Richard,2023-11-28,West Kellytown,"The food was stale, and I want my money back.",Finance
9263,Henry Glover,2024-11-02,Port Michael,"The food was stale, and I want my money back.",Finance
4142,Sandra Duncan,2024-09-21,Franklinview,"The food was stale, and I want my money back.",Finance
3582,Paul Anderson,2024-01-27,Griffinton,"The food was stale, and I want my money back.",Finance
1441,Mariah Lester,2024-01-07,Jamieport,"The food was stale, and I want my money back.",Finance
5716,Sean Adams,2024-05-25,New Michelle,"The food was stale, and I want my money back.",Finance
8425,Jamie Daniels,2024-07-01,Ellenberg,"The food was stale, and I want my money back.",Finance
3311,Michelle Chavez,2024-02-27,West Mark,"The food was stale, and I want my money back.",Finance
9149,Elizabeth Young,2024-02-03,Smithport,"The food was stale, and I want my money back.",Finance
8570,Katherine Smith,2024-11-15,West David,"The food was stale, and I want my money back.",Finance
5539,Lynn Hanson,2024-08-01,Johnathanchester,"The food was stale, and I want my money back.",Finance
4277,Jonathan Hill,2024-07-30,Abbottton,"The food was stale, and I want my money back.",Finance
1739,Alyssa Moore,2024-08-08,New Rosschester,"The food was stale, and I want my money back.",Finance
1750,Bradley Padilla,2024-01-01,East Sherryside,"The food was stale, and I want my money back.",Finance
6343,Marie Moreno,2024-02-21,Chelseafort,"The food was stale, and I want my money back.",Finance
8077,Travis Franklin,2023-12-29,North Monica,"The food was stale, and I want my money back.",Finance
7550,Matthew Greene,2023-12-24,Hartland,"The food was stale, and I want my money back.",Finance
9262,Ellen Romero,2024-09-03,South Franciscoshire,"The food was stale, and I want my money back.",Finance
1778,Brenda Crawford,2024-05-27,Briannaville,"The food was stale, and I want my money back.",Finance
8206,Christina Choi,2024-11-01,North Jamesside,"The food was stale, and I want my money back.",Finance
3968,David Turner,2024-08-19,Millsmouth,"The food was stale, and I want my money back.",Finance
1781,Rebecca Holland,2024-11-18,New Brandon,"The food was stale, and I want my money back.",Finance
7817,Nicole Acevedo,2024-04-28,South Danielfurt,"The food was stale, and I want my money back.",Finance
5868,Amanda Mills,2024-10-10,Kimberlyland,"The food was stale, and I want my money back.",Finance
5851,Shirley Fisher,2024-05-08,Port Rachael,"The food was stale, and I want my money back.",Finance
9630,Eric Simpson,2024-01-21,Floresfurt,"The food was stale, and I want my money back.",Finance
9675,Donald Washington,2024-05-09,Port Andrewside,"The food was stale, and I want my money back.",Finance
3295,Michael Brown,2023-12-30,Debbiefort,"The food was stale, and I want my money back.",Finance
6304,Carla White,2024-07-26,North Lindahaven,"The food was stale, and I want my money back.",Finance
7383,Mark Ruiz,2024-09-18,Schroederburgh,"The food was stale, and I want my money back.",Finance
1237,Kenneth Townsend,2024-02-18,Davidberg,"The food was stale, and I want my money back.",Finance
6227,Tyler Johnson,2024-04-13,East Robinshire,"The food was stale, and I want my money back.",Finance
3507,Amanda Ware,2024-11-16,New Jacob,"The food was stale, and I want my money back.",Finance
8706,Shane Wells,2024-04-22,Port Charlotte,"The food was stale, and I want my money back.",Finance
6988,Rachel Jackson,2024-01-06,West Marcusville,"The food was stale, and I want my money back.",Finance
8027,Chris Beasley,2024-01-04,Port Daniel,"The food was stale, and I want my money back.",Finance
5109,Jennifer Brooks,2024-01-27,New Juan,"The food was stale, and I want my money back.",Finance
1131,Kathy Cline,2024-09-14,Savagefort,"The food was stale, and I want my money back.",Finance
9271,Lisa Brewer,2024-05-22,Bishopfort,"The food was stale, and I want my money back.",Finance
6409,John Henderson,2024-10-06,West Deanna,"The food was stale, and I want my money back.",Finance
3988,Alexis Flynn,2024-09-04,Gomezmouth,"The food was stale, and I want my money back.",Finance
8872,Jessica Jones,2024-11-10,West Andreaton,"The food was stale, and I want my money back.",Finance
7708,Mr. Joseph Spencer,2024-03-08,Port Cassietown,"The food was stale, and I want my money back.",Finance
7000,Robert Ford,2023-12-19,New Peterside,"The food was stale, and I want my money back.",Finance
9192,James Holt,2024-10-17,Mauriceshire,"The food was stale, and I want my money back.",Finance
