consumer_id,name,date_of_complaint,region,complaint,intent
7616,Kyle Harris,2024-02-25,New Patrickton,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
2565,Mackenzie Russell,2024-06-08,Youngburgh,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
1833,Steven Glass,2024-04-15,East Andrew,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8779,Ryan Anderson,2024-10-16,Wrightport,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7219,Michelle Huang,2024-06-25,New Brian,I received the wrong item and would like a full refund or exchange.,Finance Department
8727,Andrea Padilla,2024-01-23,Nelsonburgh,I received the wrong item and would like a full refund or exchange.,Finance Department
9159,Kenneth Ibarra,2024-11-13,North Jacob,I received the wrong item and would like a full refund or exchange.,Finance Department
1909,Patricia Garcia,2024-05-13,South Melissabury,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4638,Jason Simmons,2023-12-28,Michaelshire,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
2252,Charles Roberson,2024-08-03,Codyview,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8241,Katie Reed,2023-12-30,Colemanton,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9295,Henry Everett,2024-06-15,Laurenland,I received the wrong item and would like a full refund or exchange.,Finance Department
8437,Jeremiah Williams PhD,2024-08-19,Alyssabury,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
9509,Mackenzie Baker,2024-09-11,West Josephburgh,I received the wrong item and would like a full refund or exchange.,Finance Department
4279,Samuel Mcgee,2024-01-26,Port Lisaland,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5792,Jennifer Benson,2024-02-28,Port Melissa,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7025,Brenda Smith,2024-06-19,Hendersonbury,I received the wrong item and would like a full refund or exchange.,Finance Department
4471,Chad Clark,2024-10-02,East Georgeton,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6557,Dr. James Castillo,2024-10-13,Port Nicole,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
4625,Nicholas Vasquez,2024-10-16,Olsonville,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8063,Monica Morgan,2024-10-11,Mckenzietown,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3599,Joseph Turner,2024-09-28,Patriciabury,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
1487,Richard Walton,2024-05-14,Mooreville,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
5072,Elaine Johnson,2024-07-28,New Jonathan,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
4165,Jennifer Roberts,2024-04-10,Millerhaven,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6613,Alexa Andrade,2024-03-23,Michaelmouth,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
9511,Cindy Aguirre,2024-07-12,Christopherborough,I received the wrong item and would like a full refund or exchange.,Finance Department
8848,Annette Vasquez,2024-04-06,Jerryton,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6269,Shelby Torres,2023-12-02,Morganbury,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
4773,Anthony Murphy,2024-08-22,Powellchester,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
1663,James Jones,2024-09-18,Port Erictown,I received the wrong item and would like a full refund or exchange.,Finance Department
9091,Kelly Rivera,2024-07-19,New Samantha,I received the wrong item and would like a full refund or exchange.,Finance Department
9148,Pamela Holland,2024-11-01,Lake Kathyhaven,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
2617,Catherine Robinson,2024-08-13,Michaelfurt,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
3316,Randy Brooks,2024-06-16,Richardport,I received the wrong item and would like a full refund or exchange.,Finance Department
4179,Denise Mason,2024-04-01,New Tracey,I received the wrong item and would like a full refund or exchange.,Finance Department
6967,Megan George,2024-06-24,Lake Brenda,I received the wrong item and would like a full refund or exchange.,Finance Department
1953,Kelly Mitchell,2024-10-23,Port Henry,I received the wrong item and would like a full refund or exchange.,Finance Department
4735,Ricardo Jackson,2024-05-09,Walkerton,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7366,Laura Warner,2024-04-13,Port Samuelbury,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3679,Dr. Christina Stone MD,2024-07-25,North Bobby,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7672,Jennifer Fisher,2024-10-31,Julialand,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8356,Casey Stevenson,2024-09-26,Jacobsside,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
3568,Taylor Sanchez,2024-04-25,Christinefurt,I received the wrong item and would like a full refund or exchange.,Finance Department
3659,Mary Lopez,2024-06-28,Christopherberg,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6565,Meghan Wright,2024-02-06,Jamieville,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
2334,Kimberly Jones,2024-04-22,Port Christiantown,I received the wrong item and would like a full refund or exchange.,Finance Department
8198,Kimberly Hughes,2024-06-15,Vincentshire,I received the wrong item and would like a full refund or exchange.,Finance Department
5422,Karen Harris,2024-09-10,Jeremyberg,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
6488,Keith Kim,2024-06-21,Montgomeryborough,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
2210,David Duarte,2024-01-30,Chavezmouth,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
2589,Aaron Anderson,2024-06-26,Andersonborough,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8854,Jamie Powell,2024-07-14,East Cesar,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7274,David Reilly,2024-11-25,North Alisonfort,I received the wrong item and would like a full refund or exchange.,Finance Department
6777,William Mcguire,2024-07-22,Allenberg,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8181,Miguel Smith,2024-09-27,Timothymouth,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
8170,Jennifer Jones,2023-12-12,Stevensonland,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4068,Justin Kaufman,2024-06-19,East Renee,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
9168,Melinda Oneill DVM,2024-04-10,Jacobsland,I received the wrong item and would like a full refund or exchange.,Finance Department
4199,Daniel Martinez,2024-05-07,Browntown,I received the wrong item and would like a full refund or exchange.,Finance Department
9596,Angel Petersen,2024-02-15,Edwardview,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6453,Gina Gordon,2024-02-28,East Josephshire,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7528,Alexandra Charles,2024-11-05,Lake Jeanette,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
7673,Karen Kemp,2024-05-29,Ellisonmouth,I received the wrong item and would like a full refund or exchange.,Finance Department
2858,Kurt Walters,2024-04-05,Lake Tiffanybury,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
1827,Antonio Brown,2024-07-25,Joshuaside,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4921,Elizabeth Stewart,2024-01-21,Fullerville,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
1280,Ann Reyes,2024-10-24,Lake Lisatown,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
7199,Jordan Gregory,2024-05-09,Ortegaborough,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6702,Grant Ward,2023-12-20,Port Michele,I received the wrong item and would like a full refund or exchange.,Finance Department
2059,Kelly Clark DDS,2024-06-26,North Miguel,I received the wrong item and would like a full refund or exchange.,Finance Department
5856,Ashley Odonnell,2024-04-07,Shannonland,I received the wrong item and would like a full refund or exchange.,Finance Department
5499,Michael Holt,2024-07-05,East Douglasborough,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
9199,Stephanie Hamilton,2024-05-08,Port Marvinchester,I received the wrong item and would like a full refund or exchange.,Finance Department
9787,Daniel Stephenson,2024-04-19,East Kimberly,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
7711,Shannon Meyers,2024-08-29,Howardshire,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5662,Brooke Nguyen,2024-07-23,Brownport,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
6428,Mrs. Brandy Chang,2024-03-06,Olsonstad,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
8651,Cameron Hall,2024-10-02,Zimmermanfurt,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4362,Jacqueline Peters,2024-06-08,Michaelview,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
5358,Sharon Allen,2024-07-12,Grantland,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
2111,Lori Freeman,2024-11-16,East Yolandaside,I received the wrong item and would like a full refund or exchange.,Finance Department
7340,Jill Jackson,2023-12-12,Mileston,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
5876,Mary Morgan,2024-07-20,Dyerville,"The product I ordered arrived damaged, and I am requesting a refund or replacement.",Finance Department
4781,Jessica Williams,2024-09-02,Conwayhaven,I received the wrong item and would like a full refund or exchange.,Finance Department
8737,Deborah Pearson,2024-02-06,Waltersstad,"The delivery was delayed, and I want my shipping fee refunded.",Finance Department
